,NOIND,transport_personnel,tv_score,tv_duree,jvideo_score,jvideo_duree,ordi_score,ordi_duree,escalier_score,emploi_4sem,travail_freq_semaine,travail_duree,transport_score,activite_domloissport_duree,activite_domloissport_score,activite_moderee_score,activite_intense_score,activite_total_duree,activite_total_score,nap,profil_activite,sedentarite,sedentarite_duree,conso_gpe1,conso_gpe2,conso_gpe3,conso_gpe4,conso_gpe5,conso_gpe6,conso_gpe7,conso_gpe8,conso_gpe9,conso_gpe10,conso_gpe11,conso_gpe12,conso_gpe13,conso_gpe14,conso_gpe15,conso_gpe16,conso_gpe17,conso_gpe18,conso_gpe19,conso_gpe20,conso_gpe21,conso_gpe22,conso_gpe23,conso_gpe24,conso_gpe25,conso_gpe26,conso_gpe27,conso_gpe28,conso_gpe29,conso_gpe30,conso_gpe31,conso_gpe32,conso_gpe33,conso_gpe34,conso_gpe35,conso_gpe36,conso_gpe37,conso_gpe38,conso_gpe39,conso_gpe40,conso_gpe41,conso_gpe42,strate,region_adm_12cl,region_inca3,agglo_5cl,vacances_interv,sex_PR,tage_PR,etude_4cl_PR,stat_log_2cl,soins,situ_fin_3cl,revenu,RUC_4cl,nbpers,taille,regime_vegetarien,regime_non,veget_viande,veget_prodmer,veget_prodlait,veget_autre_alim,fume,nom_region
0,120100501,,,0.82142854,,0.96428573,,0.57142854,,,,,,,,,,,,1.0,2.0,0.0,,80.460709,0.0,64.857147,213.07143,0.0,0.0,266.58092999999997,205.35715,0.0,0.0,0.0,0.0,0.0,0.0,70.0,95.14286,0.0,25.446428,0.0,0.0,10.714286,0.0,0.0,50.67857,0.0,0.0,4.0500002,0.0,300.0,42.857143,41.142857,98.057137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.749997999999998,0.0,6,9,6,1,2,1,2,1,2,2,3,1,1.0,5,161.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0, Auvergne-Rhone-Alpes
1,120100601,,,1.1428571,,0.0,,0.57142854,,,,,,,,,,,,2.0,2.0,0.0,,29.316002,0.0,0.0,70.714287,0.0,126.85715,0.0,22.857145000000003,21.071428,71.428574,0.0,19.935263,0.0,0.0,0.0,47.57143,31.785713,14.285713000000001,0.0,0.0,22.357143,66.928574,0.0,29.699999,35.714283,5.3571429,28.614286,0.0,91.42858100000001,410.71426,245.71428999999998,236.32141000000001,0.0,348.78336,158.71428,28.571432,0.0,0.0,0.0,131.80803,6.8553572,0.0,6,9,6,1,1,1,1,1,2,2,2,12,3.0,4,127.0,0.0,0.0,0.0,0.0,0.0,0.0,, Auvergne-Rhone-Alpes
2,120100801,,,1.0,,0.35714287,,0.35714287,,,,,,,,,,,,2.0,2.0,0.0,,25.65,0.0,23.57143,17.857143,0.0,14.0,88.285721,178.57143,0.0,0.0,0.0,9.1357145,1.0714285,0.0,49.82143,0.0,33.142857,0.0,0.0,0.0,35.714287,0.0,64.285713,172.75357,90.0,0.0,2.0,7.1428576,0.0,417.14288,42.857143,0.0,0.0,0.0,0.0,14.285715,0.0,0.0,42.857143,23.57143,7.1428576,0.0,6,9,6,1,1,1,1,3,2,2,1,13,4.0,4,105.0,0.0,0.0,0.0,0.0,0.0,0.0,, Auvergne-Rhone-Alpes
3,120101001,,,1.4285715,,0.2142857,,1.2142856000000002,,,,,,,,,,,,2.0,2.0,0.0,,0.0,184.28572,0.0,0.0,0.0,11.428573,0.0,0.0,0.0,0.0,0.0,2.4457142000000003,12.055369,0.0,28.571432,33.299999,0.0,43.92857,0.0,0.0,38.214283,0.0,75.378571,0.0,167.85713,0.0,27.551378000000003,20.853275,0.0,100.0,2657.9392,5.5714283,0.0,0.0,0.0,24.428572,0.0,0.0,76.428566,0.0,19.738094,0.0,6,9,6,1,1,1,1,3,2,2,1,12,4.0,3,132.0,0.0,1.0,0.0,0.0,0.0,0.0,, Auvergne-Rhone-Alpes
4,120101201,,,1.1428571,,0.0,,0.78571427,,,,,,,,,,,,2.0,2.0,0.0,,53.535717000000005,0.0,0.0,0.0,0.0,110.71428999999999,0.0,0.0,0.0,0.0,28.427145,8.528571099999999,0.0,0.0,33.92857,21.428572,16.000002,33.92857,0.0,0.0,42.142857,0.0,83.571426,32.931430999999996,343.21426,0.0,0.0,19.660713,262.14288,475.35712,242.8018,44.571426,0.0,53.109997,0.0,0.0,0.0,0.0,89.428574,44.799107,23.21143,0.0,6,9,6,1,1,2,1,3,2,2,1,13,4.0,4,125.0,0.0,1.0,0.0,0.0,0.0,0.0,, Auvergne-Rhone-Alpes
5,120101301,,,1.5,,1.5,,0.25,,,,,,,,,,,,2.0,1.0,1.0,,60.549999,0.0,0.0,36.666668,0.0,175.08333000000002,321.24445,201.66666999999998,0.0,0.0,36.666668,0.0,11.973333,0.0,93.333336,60.66666800000001,0.75806803,0.0,0.0,0.0,75.666664,0.0,54.66666800000001,33.133331,0.0,0.0,0.93333334,24.4,0.0,1418.125,266.95001,0.0,0.0,0.0,0.0,0.0,0.0,62.66666800000001,0.0,205.0,12.700001,0.0,6,9,6,1,1,1,2,3,2,2,1,15,,3,179.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0, Auvergne-Rhone-Alpes
6,120300101,,,4.0,,0.0,,5.5714283,,,,,,,,,,,,3.0,3.0,2.0,,152.0,0.0,0.0,0.0,0.0,114.28571000000001,0.0,0.0,17.142859,0.0,0.0,33.088833,0.0,0.0,145.0,0.0,13.142857999999999,38.57143,42.840008000000005,0.0,113.92857,0.0,0.0,19.285715,107.14285,0.0,7.142858,12.0,622.99109,103.57143,392.43527,108.82857,0.0,402.38097999999997,0.0,0.0,107.14285,142.85713,0.0,201.78571000000002,15.142857000000001,0.0,3,9,3,2,1,1,2,1,1,2,1,12,4.0,3,168.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0, Auvergne-Rhone-Alpes
7,120600901,,,4.857142400000001,,0.4285714,,0.2142857,,,,,,,,,,,,3.0,3.0,1.0,,10.928573,0.0,0.0,100.0,0.0,122.21428999999999,0.0,0.0,60.815929000000004,80.714287,0.0,35.92857,5.508571599999999,0.0,0.0,45.142864,0.0,54.285713,17.857141,0.0,79.222511,0.0,31.892859,0.0,51.428574,0.0,11.392857000000001,0.0,0.0,608.97321,295.35715,0.0,0.0,60.249989,0.0,0.0,0.0,0.0,0.0,181.78571000000002,4.1964288,0.0,16,10,8,3,1,1,1,1,2,2,1,11,2.0,4,115.0,0.0,0.0,0.0,0.0,0.0,0.0,, Provence-Alpes-Cote d'Azur
8,120601801,,,2.5,,2.0,,2.0,,,,,,,,,,,,1.0,1.0,1.0,,25.200003,0.0,17.142859,58.285709,0.0,120.17857,101.52857,125.00001,0.0,0.0,71.428566,1.8214284,6.9857144,0.0,35.714283,36.42857,0.0,0.0,0.0,0.0,0.0,0.0,58.214287,0.0,0.0,0.0,29.229321999999996,18.75,0.0,186.60713,673.35266,14.857144,0.0,287.5,0.0,0.0,42.499996,0.0,0.0,203.49998,97.5,0.0,16,10,8,3,2,2,1,2,2,2,2,8,1.0,4,165.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0, Provence-Alpes-Cote d'Azur
9,120602501,,,2.0,,0.0,,0.0,,,,,,,,,,,,1.0,2.0,0.0,,73.25,0.0,0.0,96.785713,0.0,36.428574,0.0,0.0,0.0,0.0,0.0,0.0,45.9151,17.857141,64.285713,9.4049997,20.357141,64.285721,0.0,0.0,152.55571,0.0,0.0,164.54572,90.0,0.0,0.0,16.988485,692.85718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.285713,0.0,5.125,200.17857,16,10,8,3,1,1,1,4,2,2,2,11,3.0,3,89.0,0.0,0.0,0.0,0.0,0.0,0.0,, Provence-Alpes-Cote d'Azur
