Date de l'export,Code de la région,Libellé de la région,Inscrits,Abstentions,% Abs/Ins,Votants,% Vot/Ins,Blancs,% Blancs/Ins,% Blancs/Vot,Nuls,% Nuls/Ins,% Nuls/Vot,Exprimés,% Exp/Ins,% Exp/Vot
21/01/2016 08:33,1,Île-de-France,7087189,3834489,"54,1",3252700,"45,9",68533,"0,97","2,11",30874,"0,44","0,95",3153293,"44,49","96,94"
21/01/2016 08:33,2,Normandie,2390813,1196540,"50,05",1194273,"49,95",31604,"1,32","2,65",18258,"0,76","1,53",1144411,"47,87","95,82"
21/01/2016 08:33,3,Centre-Val de Loire,1817345,917028,"50,46",900317,"49,54",23946,"1,32","2,66",16414,"0,9","1,82",859957,"47,32","95,52"
21/01/2016 08:33,4,Pays de la Loire,2664791,1333255,"50,03",1331536,"49,97",39647,"1,49","2,98",22947,"0,86","1,72",1268942,"47,62","95,3"
21/01/2016 08:33,5,Bretagne,2421863,1172622,"48,42",1249241,"51,58",27848,"1,15","2,23",19117,"0,79","1,53",1202276,"49,64","96,24"
21/01/2016 08:33,6,Nord-Pas-de-Calais - Picardie,4237839,1914998,"45,19",2322841,"54,81",51483,"1,21","2,22",34576,"0,82","1,49",2236782,"52,78","96,3"
21/01/2016 08:33,7,Alsace - Champagne-Ardenne - Lorraine,3885530,2023930,"52,09",1861600,"47,91",46404,"1,19","2,49",37553,"0,97","2,02",1777643,"45,75","95,49"
21/01/2016 08:33,8,Bourgogne - Franche-Comté,1996679,987118,"49,44",1009561,"50,56",27341,"1,37","2,71",19252,"0,96","1,91",962968,"48,23","95,38"
21/01/2016 08:33,9,Auvergne - Rhône-Alpes,5310639,2713316,"51,09",2597323,"48,91",59333,"1,12","2,28",30175,"0,57","1,16",2507815,"47,22","96,55"
21/01/2016 08:33,10,Provence-Alpes-Côte d'Azur,3525279,1694287,"48,06",1830992,"51,94",36108,"1,02","1,97",20034,"0,57","1,09",1774850,"50,35","96,93"
21/01/2016 08:33,11,Languedoc-Roussillon - Midi-Pyrénées,4121833,1967178,"47,73",2154655,"52,27",59828,"1,45","2,78",41251,1,"1,91",2053576,"49,82","95,31"
21/01/2016 08:33,12,Aquitaine - Limousin - Poitou-Charentes,4268933,2093075,"49,03",2175858,"50,97",57889,"1,36","2,66",49208,"1,15","2,26",2068761,"48,46","95,08"
